sample_name	REPORTER	SPLIT-AD	SPLIT-DBD	
LC10_d2_rep2	10xUAS_UNC84_attP2	VT043920-p65ADZp_attP40	R91B01-ZpGDBD_attP2	
LC10_d3_l2_rep1	10xUAS_UNC84_attP2			
LC10_d3_l2_rep2	10xUAS_UNC84_attP2			
Dm1_d2_SS00309_rep1	10xUAS_UNC84_attP2	R28D04-p65ADZp_attP40	R72E04-ZpGDBD_attP2	
Dm1_d2_SS00309_rep2	10xUAS_UNC84_attP2	R28D04-p65ADZp_attP40	R72E04-ZpGDBD_attP2	
Dm12_d2_SS00384_rep1	10xUAS_UNC84_attP2	R84F02-p65ADZp_attP40	R87B02-ZpGDBD_attP2	
Dm12_d2_SS00384_rep2	10xUAS_UNC84_attP2	R84F02-p65ADZp_attP40	R87B02-ZpGDBD_attP2	
24B_AppendageMuscle_rep1	5xUAS_UNC84_attP18	NA	NA	
24B_AppendageMuscle_rep2	5xUAS_UNC84_attP18	NA	NA	
24B_HeadMuscle_rep1	5xUAS_UNC84_attP18	NA	NA	
24B_HeadMuscle_rep2	5xUAS_UNC84_attP18	NA	NA	
10F02_HeadMuscle_rep1	5xUAS_UNC84_attP18	NA	NA	
10F02_HeadMuscle_rep2	5xUAS_UNC84_attP18	NA	NA	
T4T5_d2_SS00324_male_rep1	10xUAS_UNC84_attP2	VT055812-p65ADZp_attP40	R42F06-ZpGDBD_attP2	
T4T5_d2_SS00324_male_rep2	10xUAS_UNC84_attP2	VT055812-p65ADZp_attP40	R42F06-ZpGDBD_attP2	
T4T5_d2_SS00324_female_rep1	10xUAS_UNC84_attP2	VT055812-p65ADZp_attP40	R42F06-ZpGDBD_attP2	
T4T5_d2_SS00324_female_rep2	10xUAS_UNC84_attP2	VT055812-p65ADZp_attP40	R42F06-ZpGDBD_attP2	
LPTC_SS0438_rep1	10xUAS_UNC84_attP2	VT058487-p65ADZp_attP40	R35G07-ZpGDBD_attP2	
LPTC_SS0438_rep2	10xUAS_UNC84_attP2	VT058487-p65ADZp_attP40	R35G07-ZpGDBD_attP2	
CCAP_rep1	10xUAS_UNC84_attP2			
CCAP_rep2	10xUAS_UNC84_attP2			
NPY_rep1	10xUAS_UNC84_attP2			
NPY_rep2	10xUAS_UNC84_attP2			
PDF_rep1	10xUAS_UNC84_attP2			
PDF_rep2	10xUAS_UNC84_attP2			
LargeLNv_rep1				
LargeLNv_rep2				
MB112C_rep1				
MB112C_rep2				
Lat_SS00689_rep1	10xUAS_UNC84_attP2			
Lat_SS00689_rep2	10xUAS_UNC84_attP2			
6FA_rep1				
6FA_rep2				
MB419B_rep1				
MB419B_rep2				
